"","ci_lower","ci_upper","obs_diff_y","is_within_ci","time"
"1",-9879.66881,12552.5097,13900,FALSE,4
"2",-11747.9716,11136.5422,4900,TRUE,5
"3",-7754.31542,15297.9734,-4100,TRUE,6
"4",-6835.40379,16448.1783,15300,TRUE,7
"5",-12602.598,10629.6338,3700,TRUE,8
"6",-12981.1709,10423.3972,1200,TRUE,9
"7",-7877.6341,14946.5746,2700,TRUE,10
"8",-9459.24707,13174.6781,7200,TRUE,11
"9",-11315.6892,11305.6916,4100,TRUE,12
"10",-11153.89,11174.2311,-1400,TRUE,13
"11",-8503.16492,14026.1464,-10700,FALSE,14
"12",-8040.68731,14345.973,9800,TRUE,15
"13",-16688.2133,5439.74932,12000,FALSE,16
"14",-17447.2055,5777.46244,-15200,TRUE,17
"15",-2659.41488,-2370.84472,-400,FALSE,18
"16",-5584.70798,18329.1242,-3400,TRUE,19
"17",-14693.1802,8016.76084,-4500,TRUE,20
"18",-18508.2812,5124.16819,1400,TRUE,21
"19",-16463.3543,6779.29835,-8800,TRUE,22
"20",-10075.1658,12422.757,-4000,TRUE,23
"21",-7500.90704,15321.456,-14100,FALSE,24
"22",-13446.8525,10129.2185,12500,FALSE,25
"23",-17342.2401,7023.37197,-6600,TRUE,26
"24",-15431.0185,8657.5227,4700,TRUE,27
"25",-8678.30811,14731.0365,3900,TRUE,28
"26",-9849.95152,13630.7031,-3400,TRUE,29
"27",-7906.44243,15457.8473,4600,TRUE,30
"28",-12409.6373,10589.1343,200,TRUE,31
"29",-13276.2673,9755.72477,2600,TRUE,32
"30",-11741.851,11411.0156,1200,TRUE,33
"31",-10324.4331,12541.2524,-4600,TRUE,34
"32",-8786.36054,14280.0683,-2400,TRUE,35
"33",-11933.9007,11016.9284,17300,FALSE,36
"34",-16130.7413,7667.70628,300,TRUE,37
"35",-10882.7395,12808.3842,10100,TRUE,38
"36",-6279.42709,17247.1433,2900,TRUE,39
"37",-8175.85018,15344.0087,6700,TRUE,40
"38",-10308.3799,13158.1265,9700,TRUE,41
"39",-12829.421,10272.0548,-3300,TRUE,42
"40",-9071.4094,13799.4656,8800,TRUE,43
"41",-10014.8223,12913.1578,1600,TRUE,44
"42",-11191.7849,11352.7404,12800,FALSE,45
"43",-9253.32802,14170.9068,-7000,TRUE,46
"44",-11545.8687,11511.9998,17900,FALSE,47
"45",-8640.9522,14957.7187,-9700,FALSE,48
"46",-11493.1199,11917.9298,-100,TRUE,49
"47",-7085.20965,16662.7724,6700,TRUE,50
"48",-17091.3921,6281.7516,6700,FALSE,51
"49",-11867.4559,11686.1254,-2700,TRUE,52
"50",-9100.15501,14207.1255,6200,TRUE,53
"51",-7820.23208,15628.6808,-2200,TRUE,54
"52",-11175.7698,11788.9697,7100,TRUE,55
"53",-11831.4858,11300.1316,2200,TRUE,56
"54",-13054.3269,10279.6839,5100,TRUE,57
"55",-9578.81197,13920.2375,2300,TRUE,58
"56",-9984.32165,12943.3543,17400,FALSE,59
"57",-12426.6406,10986.566,-6100,TRUE,60
"58",-7368.57418,15787.6449,-16200,FALSE,61
"59",-11302.4065,13375.5668,15300,FALSE,62
"60",-19676.8608,4402.9006,-8100,TRUE,63
"61",-15080.6276,8900.74128,-9800,TRUE,64
"62",-8251.56206,14630.9416,9500,TRUE,65
"63",-14026.4968,9565.76637,-4100,TRUE,66
"64",-11431.1665,11516.8715,8700,TRUE,67
"65",-11169.7656,11966.6445,1900,TRUE,68
"66",-10406.3415,11838.692,-11900,FALSE,69
"67",-7741.13838,15758.4653,10800,TRUE,70
"68",-14078.0285,9321.30954,10700,FALSE,71
"69",-15932.3187,7394.99481,16400,FALSE,72
"70",-10078.4885,14274.5516,12800,TRUE,73
"71",-7172.02662,16105.5198,27400,FALSE,74
"72",137233.661,142000.619,18800,FALSE,75
"73",-5466.31857,17844.8247,-500,TRUE,76
"74",-2857.60976,20489.5025,24200,FALSE,77
"75",-10582.5696,12709.5209,300,TRUE,78
"76",-11578.2065,11843.8722,4600,TRUE,79
