"","ci_lower","ci_upper","obs_diff_y","is_within_ci","time"
"1",-14664.6035,8116.37985000001,-4500,TRUE,20
"2",-18153.1331,5542.81525000001,1400,TRUE,21
"3",-16473.8408,6783.20191,-8800,TRUE,22
"4",-10006.098,12631.7018,-4000,TRUE,23
"5",-7332.60343,15140.8903,-14100,FALSE,24
"6",-13400.9112,10259.1727,12500,FALSE,25
"7",-17156.7751,7087.24664000001,-6600,TRUE,26
"8",-15647.4265,8534.01097,4700,TRUE,27
"9",-8742.88361,14707.441,3900,TRUE,28
"10",-9930.90155,13844.3321,-3400,TRUE,29
"11",-7697.64792,15495.6388,4600,TRUE,30
"12",-12462.0536,10423.8158,200,TRUE,31
"13",-13669.6972,9657.12961,2600,TRUE,32
"14",-11795.162,11553.7487,1200,TRUE,33
"15",-10302.1076,12360.7207,-4600,TRUE,34
"16",-8978.49228,14298.6508,-2400,TRUE,35
"17",-11943.9622,11074.2018,17300,FALSE,36
"18",-16098.3632,7715.30837,300,TRUE,37
"19",-10904.9396,12788.7896,10100,TRUE,38
"20",-6436.37927,17275.5289,2900,TRUE,39
"21",-8422.68795,15231.0258,6700,TRUE,40
"22",-10286.6246,12987.4452,9700,TRUE,41
"23",-12769.2437,10344.1329,-3300,TRUE,42
"24",-9007.60532,14130.5248,8800,TRUE,43
"25",-10034.5405,12862.7351,1600,TRUE,44
"26",-11088.3483,11421.9582,12800,FALSE,45
"27",-9428.25112,14258.887,-7000,TRUE,46
"28",-11548.0597,11408.8058,17900,FALSE,47
"29",-8607.67028,14777.9564,-9700,FALSE,48
"30",-11599.6166,11956.5784,-100,TRUE,49
"31",-7155.55765,16813.6732,6700,TRUE,50
"32",-17254.4688,5980.71808,6700,FALSE,51
"33",-12249.6999,11679.2053,-2700,TRUE,52
"34",-9208.46246,14329.1947,6200,TRUE,53
"35",-7739.08914,15514.6043,-2200,TRUE,54
"36",-11409.5871,11870.5848,7100,TRUE,55
"37",-11646.5612,11339.8351,2200,TRUE,56
"38",-13175.1135,10039.8126,5100,TRUE,57
"39",-9729.16575,13872.6249,2300,TRUE,58
"40",-9987.10327,13247.3147,17400,FALSE,59
"41",-12613.8448,10940.4707,-6100,TRUE,60
"42",-7517.06117,15839.8235,-16200,FALSE,61
"43",-10848.2362,13251.8388,15300,FALSE,62
"44",-19644.4261,4832.47765000001,-8100,TRUE,63
"45",-14944.3984,9204.42654,-9800,TRUE,64
"46",-8452.93093,14577.7938,9500,TRUE,65
"47",-13951.5702,9652.35934000001,-4100,TRUE,66
"48",-11153.8283,11450.4261,8700,TRUE,67
"49",-11256.7748,11933.0329,1900,TRUE,68
"50",-10454.5225,11881.7706,-11900,FALSE,69
"51",-7870.52695,15978.0294,10800,TRUE,70
